date,deepSleepTime,shallowSleepTime,wakeTime,start,stop,REMTime,naps,,,,,,,,,,,,,,,
13/03/2022,115,312,6,2022-03-12 21:27:00+0000,2022-03-13 05:29:00+0000,49,,,,,,,,,,,,,,,,
14/03/2022,24,284,15,2022-03-13 20:58:00+0000,2022-03-14 02:54:00+0000,33,,,,,,,,,,,,,,,,
15/03/2022,53,342,0,2022-03-14 22:04:00+0000,2022-03-15 05:39:00+0000,60,,,,,,,,,,,,,,,,
16/03/2022,70,232,3,2022-03-15 23:15:00+0000,2022-03-16 04:45:00+0000,25,,,,,,,,,,,,,,,,
17/03/2022,0,18,0,2022-03-16 19:18:00+0000,2022-03-16 19:45:00+0000,9,,,,,,,,,,,,,,,,
18/03/2022,47,247,1,2022-03-17 23:28:00+0000,2022-03-18 05:08:00+0000,45,,,,,,,,,,,,,,,,
19/03/2022,0,0,0,2022-03-17 21:00:00+0000,2022-03-17 21:00:00+0000,0,,,,,,,,,,,,,,,,
20/03/2022,56,340,8,2022-03-19 19:46:00+0000,2022-03-20 03:12:00+0000,42,,,,,,,,,,,,,,,,
21/03/2022,153,161,0,2022-03-20 21:29:00+0000,2022-03-21 04:25:00+0000,102,,,,,,,,,,,,,,,,
22/03/2022,48,415,42,2022-03-21 19:41:00+0000,2022-03-22 05:11:00+0000,65,,,,,,,,,,,,,,,,
23/03/2022,20,237,5,2022-03-22 21:53:00+0000,2022-03-23 03:16:00+0000,61,,,,,,,,,,,,,,,,
24/03/2022,104,283,16,2022-03-23 20:49:00+0000,2022-03-24 04:40:00+0000,68,,,,,,,,,,,,,,,,
25/03/2022,79,171,22,2022-03-24 21:48:00+0000,2022-03-25 03:36:00+0000,76,,,,,,,,,,,,,,,,
26/03/2022,0,0,0,2022-03-24 21:00:00+0000,2022-03-24 21:00:00+0000,0,,,,,,,,,,,,,,,,
27/03/2022,0,0,0,2022-03-25 21:00:00+0000,2022-03-25 21:00:00+0000,0,,,,,,,,,,,,,,,,
28/03/2022,86,412,1,2022-03-27 19:53:00+0000,2022-03-28 05:00:00+0000,48,,,,,,,,,,,,,,,,
29/03/2022,73,284,25,2022-03-28 21:49:00+0000,2022-03-29 05:05:00+0000,54,,,,,,,,,,,,,,,,
30/03/2022,45,336,8,2022-03-29 21:53:00+0000,2022-03-30 05:17:00+0000,55,,,,,,,,,,,,,,,,
31/03/2022,56,339,1,2022-03-30 21:32:00+0000,2022-03-31 04:47:00+0000,39,,,,,,,,,,,,,,,,
01/04/2022,64,170,34,2022-03-31 21:29:00+0000,2022-04-01 03:00:00+0000,63,,,,,,,,,,,,,,,,
02/04/2022,83,133,10,2022-04-01 23:12:00+0000,2022-04-02 03:52:00+0000,54,,,,,,,,,,,,,,,,
03/04/2022,87,448,0,2022-04-02 19:51:00+0000,2022-04-03 05:35:00+0000,49,,,,,,,,,,,,,,,,
04/04/2022,104,328,22,2022-04-03 20:44:00+0000,2022-04-04 04:59:00+0000,41,,,,,,,,,,,,,,,,
05/04/2022,81,344,0,2022-04-04 20:09:00+0000,2022-04-05 04:02:00+0000,48,,,,,,,,,,,,,,,,
06/04/2022,40,244,0,2022-04-05 20:39:00+0000,2022-04-06 01:51:00+0000,28,,,,,,,,,,,,,,,,
07/04/2022,69,285,0,2022-04-06 19:51:00+0000,2022-04-07 02:27:00+0000,42,,,,,,,,,,,,,,,,
08/04/2022,74,221,31,2022-04-07 20:10:00+0000,2022-04-08 03:20:00+0000,104,,,,,,,,,,,,,,,,
09/04/2022,59,339,2,2022-04-08 20:50:00+0000,2022-04-09 04:17:00+0000,47,,,,,,,,,,,,,,,,
10/04/2022,0,0,0,2022-04-08 21:00:00+0000,2022-04-08 21:00:00+0000,0,,,,,,,,,,,,,,,,
11/04/2022,34,377,3,2022-04-10 20:50:00+0000,2022-04-11 04:23:00+0000,39,,,,,,,,,,,,,,,,
12/04/2022,36,334,6,2022-04-11 21:50:00+0000,2022-04-12 05:02:00+0000,56,,,,,,,,,,,,,,,,
13/04/2022,45,341,2,2022-04-12 20:32:00+0000,2022-04-13 04:02:00+0000,62,,,,,,,,,,,,,,,,
14/04/2022,37,169,22,2022-04-13 21:44:00+0000,2022-04-14 02:53:00+0000,81,,,,,,,,,,,,,,,,
15/04/2022,0,0,0,2022-04-13 21:00:00+0000,2022-04-13 21:00:00+0000,0,"[{\start\"":\""2022-01-08 00:40:13+0000\""","\""end\"":\""2022-01-08 00:41:03+0000\""}]""",,,,,,,,,,,,,,
16/04/2022,115,312,13,2022-04-15 20:18:00+0000,2022-04-16 04:40:00+0000,62,,,,,,,,,,,,,,,,
17/04/2022,106,335,0,2022-04-16 20:54:00+0000,2022-04-17 05:06:00+0000,51,,,,,,,,,,,,,,,,
18/04/2022,70,297,2,2022-04-17 20:02:00+0000,2022-04-18 03:18:00+0000,67,,,,,,,,,,,,,,,,
19/04/2022,63,279,0,2022-04-18 21:29:00+0000,2022-04-19 03:38:00+0000,27,,,,,,,,,,,,,,,,
20/04/2022,77,176,1,2022-04-20 02:54:00+0000,2022-04-20 07:45:00+0000,37,,,,,,,,,,,,,,,,
21/04/2022,61,357,7,2022-04-20 18:59:00+0000,2022-04-21 02:54:00+0000,50,,,,,,,,,,,,,,,,
22/04/2022,80,116,61,2022-04-22 00:47:00+0000,2022-04-22 05:42:00+0000,38,"[{\start\"":\""2022-01-08 00:39:24+0000\""","\""end\"":\""2022-01-08 00:39:58+0000\""}","{\""start\"":\""2022-01-08 00:39:59+0000\""","\""end\"":\""2022-01-08 00:40:22+0000\""}","{\""start\"":\""2022-01-08 00:40:23+0000\""","\""end\"":\""2022-01-08 00:41:07+0000\""}]""",,,,,,,,,,
23/04/2022,104,312,0,2022-04-22 19:15:00+0000,2022-04-23 04:02:00+0000,111,,,,,,,,,,,,,,,,
24/04/2022,63,425,4,2022-04-23 19:52:00+0000,2022-04-24 05:11:00+0000,67,,,,,,,,,,,,,,,,
25/04/2022,0,242,160,2022-04-24 20:31:00+0000,2022-04-25 03:13:00+0000,0,,,,,,,,,,,,,,,,
26/04/2022,59,360,1,2022-04-25 20:49:00+0000,2022-04-26 04:30:00+0000,41,,,,,,,,,,,,,,,,
27/04/2022,92,333,12,2022-04-26 21:24:00+0000,2022-04-27 05:28:00+0000,47,,,,,,,,,,,,,,,,
28/04/2022,20,293,11,2022-04-27 22:47:00+0000,2022-04-28 05:01:00+0000,50,,,,,,,,,,,,,,,,
29/04/2022,80,158,128,2022-04-28 19:54:00+0000,2022-04-29 04:10:00+0000,130,"[{\start\"":\""2022-01-08 00:40:10+0000\""","\""end\"":\""2022-01-08 00:41:55+0000\""}]""",,,,,,,,,,,,,,
30/04/2022,41,249,0,2022-04-29 22:09:00+0000,2022-04-30 03:37:00+0000,38,,,,,,,,,,,,,,,,
01/05/2022,0,0,0,2022-04-29 21:00:00+0000,2022-04-29 21:00:00+0000,0,,,,,,,,,,,,,,,,
02/05/2022,0,0,0,2022-04-30 21:00:00+0000,2022-04-30 21:00:00+0000,0,,,,,,,,,,,,,,,,
03/05/2022,35,319,1,2022-05-02 21:46:00+0000,2022-05-03 04:06:00+0000,25,,,,,,,,,,,,,,,,
04/05/2022,64,261,128,2022-05-03 17:59:00+0000,2022-05-04 04:29:00+0000,177,,,,,,,,,,,,,,,,
05/05/2022,0,0,0,2022-05-03 21:00:00+0000,2022-05-03 21:00:00+0000,0,,,,,,,,,,,,,,,,
06/05/2022,56,284,13,2022-05-05 22:39:00+0000,2022-05-06 05:32:00+0000,60,,,,,,,,,,,,,,,,
08/05/2022,0,0,0,2022-05-06 21:00:00+0000,2022-05-06 21:00:00+0000,0,,,,,,,,,,,,,,,,
09/05/2022,46,335,2,2022-05-08 20:55:00+0000,2022-05-09 03:59:00+0000,41,,,,,,,,,,,,,,,,
10/05/2022,64,223,6,2022-05-09 23:04:00+0000,2022-05-10 04:30:00+0000,33,,,,,,,,,,,,,,,,
11/05/2022,82,369,18,2022-05-10 19:07:00+0000,2022-05-11 04:15:00+0000,79,,,,,,,,,,,,,,,,
